item,itemLabel,startDate,endDate,sourceDate,psid
Q313662,Maaouya Ould Sid'Ahmed Taya,1984-12-12,2005-08-03,,Q313662-4e99c972-445b-45fa-4943-70f3b9412a17
Q451521,Ely Ould Mohamed Vall,2005-08-03,2007-04-19,,Q451521-18b41d7d-e943-4840-8263-1376da1ebc30
Q310203,Sidi Ould Cheikh Abdallahi,2007-04-19,2008-08-06,,Q310203-152ee88a-449f-f358-5733-442f1f20adbf
Q294969,Mohamed Ould Abdel Aziz,2009-08-05,,,Q294969-796dd867-402d-8718-24c5-20e0dcc2c09f
Q12241106,Mohamed Ould Ghazouani,2019-08-01,,,Q12241106-fda14c16-ff1f-4ac0-9735-ca02139e7a45
