@@,item,itemlabel,startdate,enddate
+++,Q294969,Mohamed Ould Abdel Aziz,2008-08-06,2009-04-15
+++,Q2877629,Ba Mamadou Mbaré,2009-04-15,2009-08-05
->,Q294969,Mohamed Ould Abdel Aziz,2009-08-05,NULL->2019-08-01
