item,itemLabel,position,positionLabel,startDate,endDate
Q98137599,Mohamed Ould Bilal,,Prime Minister,2022-04-01,
Q1371357,Yahya Ould Ahmed El Waghef,,Minister Secretary-General of the Presidency of the Republic,2022-04-01,2022-09-06
Q440509,Moulaye Ould Mohamed Laghdaf,,Minister Secretary-General of the Presidency of the Republic,2022-09-06,
,Dr. Coumba Ba,,Minister Counselor to the Presidency of the Republic,2022-04-01,
Q12194248,Naha Mint Mouknass,,Minister Counsellor at the Presidency of the Republic,2022-04-01,
,Mohamed Mahmoud Ould Cheikh Abdoullah Ould Boya,,Minister of Justice,2022-04-01,
,Mohamed Salem Ould Merzoug,,"Minister of Foreign Affairs, Cooperation and Mauritanians Abroad",2022-04-01,
,Hanana Ould Sidi,,Minister of National Defense,2022-04-01,
,Mohamed Ahmed Ould Mohamed Lemine,,Minister of the Interior and Decentralisation,2022-04-01,
,Dah Ould Sidi Ould Amar Taleb,,Minister of Islamic Affairs and Original Education,2022-04-01,
,Ousmane Mamoudou Kane,,Minister of Economic Affairs and Promotion of Productive Sectors,2022-04-01,
,Isselmou Ould Mohamed M'bady,,Minister of Finance,2022-04-01,
,Mohamed Melainine Ould Eyih,,Minister of National Education and Reform of Education System,2022-04-01,2022-09-06
,Adama Bokar Soko,,Minister of National Education and Reform of Education System,2022-09-06,2022-09-26
,Brahim Vall Ould Mohamed Lemine,,Minister of National Education and Reform of Education System,2022-09-26,
,Moktar Ould Dahi,,Minister of Health,2022-04-01,
,Mohamed Ould Abdalahi Ould Ethmane,,Minister of Public Service and Labor,2022-04-01,2022-09-26
,Zeinebou Mint Ahmednah,,Minister of Public Service and Labor,2022-09-26,
,Cheikh El Kebir Moulaye Taher,,"Minister of Digital Transformation, Innovation, and Modernization of Administration",2022-04-01,2022-09-06
,Moktar Ahmed Yedali,,"Minister of Digital Transformation, Innovation, and Modernization of Administration",2022-09-06,
,Abdessalam Ould Mohamed Saleh,,"Minister of Petroleum, Mines and Energy",2022-04-01,
,Mohamed Ould Abedeen Ould Ameyev,,Minister of Fishing and Maritime Economy,2022-04-01,
,Adama Bocar Soko,,Minister of Agriculture,2022-04-01,2022-09-06
Q1371357,Yahya Ould Ahmed El Waghef,,Minister of Agriculture,2022-09-06,
,Mohamed Ould Soueidatt,,Minister of Livestock,2022-04-01,2022-09-06
,Brahim Vall Ould Mohamed Lemine,,Minister of Livestock,2022-09-06,2022-09-26
,Mohamed Ould Abdalahi Ould Ethmane,,Minister of Livestock,2022-09-26,
,Lamrabott Ould Bennahi,,"Minister of Trade, Industry, Handicrafts, and Tourism",2022-04-01,
,Lalya Ali Camara,,Minister of Employment and Vocational Training,2022-04-01,2022-09-06
,Niang Mamoudou,,Minister of Employment and Vocational Training,2022-09-06,
,Sidi Ahmed Ould Mohamed,,"Minister of Housing, Urbanism and Land Planning",2022-04-01,
,Moktar Ahmed Yedali,,Minister of Equipement and Transports,2022-04-01,2022-09-06
,Nany Ould Chrougha,,Minister of Equipement and Transports,2022-09-06,
,Sidi Mohamed Ould Taleb Omar,,Minister of Water and Sanitation,2022-04-01,
,Mohamed Lemine Ould Aboyé Ould Cheikh El Hadrami,,Minister of Higher Education and Scientific Research,2022-04-01,
,Khattar Ould Cheibani,,"Minister of Culture, Youth, Sports and Relations with Parliament",2022-04-01,2022-09-06
,Mohamed Ould Soueidatt,,"Minister of Culture, Youth, Sports and Relations with Parliament",2022-09-06,
,Khattar Ould Cheibani,,Minister of Social Action,2022-04-01,
,Aissata Daouda Diallo,,Minister of Environment and Sustainable Development,2022-04-01,2022-09-06
,Lalya Ali Camara,,Minister of Environment and Sustainable Development,2022-09-06,
,Zeinebou Mint Ahmednah,,Minister Secretary-General of Government,2022-04-01,2022-09-26
,Lam Moctar Alhousseyni,,Minister Secretary-General of Government,2022-09-26,
,Mohamed Melainine Ould Eyih,,Government Spokesperson,2022-04-01,2022-09-06
,Nany Ould Chrougha,,Government Spokesperson,2022-09-06,
,Mohamed Ali Ould Sidi Mohamed,,General Representative for National Solidarity and Anti-Exclusion (Synergy),2022-04-01,
,Cheikh Ahmedou Ould Ahmed Salem Ould Sidi,,"Commissioner for Human Rights, Humanitarian Action, and Relations with Civil Society",2022-04-01,
,Fatimetou Mint Mahfoudh Ould Khattri,,Food Security Commissioner,2022-04-01,
,Mohamed Lemine Ould Dhehby,,Governor of the Central Bank,2022-03-31,
