positionlabel,position
Minister Counsellor at the Presidency of the Republic,Q114292671
Minister Counselor to the Presidency of the Republic,Q114292671
Minister Secretary-General of Government,Q114292672
Minister Secretary-General of the Presidency of the Republic,Q114292674
Minister of Agriculture,Q114292675
"Minister of Culture, Youth, Sports and Relations with Parliament",Q114292676
"Minister of Digital Transformation, Innovation, and Modernization of Administration",Q114292677
Minister of Economic Affairs and Promotion of Productive Sectors,Q114292678
Minister of Employment and Vocational Training,Q114292679
Minister of Environment and Sustainable Development,Q114292680
Minister of Equipement and Transports,Q114292681
Minister of Finance,Q99229078
Minister of Fishing and Maritime Economy,Q114292682
Minister of Health,Q112081177
Minister of Higher Education and Scientific Research,Q114292683
"Minister of Housing, Urbanism and Land Planning",Q114292684
Minister of Islamic Affairs and Original Education,Q114292685
Minister of Justice,Q114292687
Minister of Livestock,Q114292689
Minister of National Defense,Q114292691
Minister of National Education and Reform of Education System,Q114292693
"Minister of Petroleum, Mines and Energy",Q63976869
Minister of Public Service and Labor,Q114292695
Minister of Social Action,Q114292697
"Minister of Trade, Industry, Handicrafts, and Tourism",Q114292698
Minister of Water and Sanitation,Q114292699
Minister of the Interior and Decentralisation,Q114292701
"Commissioner for Human Rights, Humanitarian Action, and Relations with Civil Society",Q114293540
Food Security Commissioner,Q114293567
General Representative for National Solidarity and Anti-Exclusion (Synergy),Q114293591
Government Spokesperson,Q114293597
Governor of the Central Bank,Q114293227
