wpid,wpdobstr,wpdob
17303580,"June 30, 1960",1960-06-30
18861365,"December 12, 1957",1957-12-12
41224592,"March 10, 1969",1969-03-10
61110942,"December 4, 1956",1956-12-04
64796444,1963 (age 59),1963
