ordinal,item,itemLabel,inception,inceptionPrecision,abolished,abolishedPrecision,replaces,replacesLabel,replacedBy,replacedByLabel
,Q114291704,First government of Mohamed Ould Bilal,2020-08-08,11,2022-03-29,11,,,Q113115745,Second government of Mohamed Ould Bilal
17,Q113115745,Second government of Mohamed Ould Bilal,2022-04-01,11,,,Q114291704,First government of Mohamed Ould Bilal,,
