item,itemLabel,minister,ministerLabel,began,ended
Q6867014,Mauritania Ministry of Foreign Affairs,,,1960,
Q6866886,Ministry of Energy,,,,
Q55623312,Ministry of Justice (Mauritania),,,,
Q6867696,Ministry of the Interior and Decentralization,,,,
