position,title
Q28002551,President
Q30101469,Prime Minister
Q114292675,Minister of Agriculture
Q114292676,"Minister of Culture, Youth, Sports and Relations with Parliament"
Q114292677,"Minister of Digital Transformation, Innovation, and Modernization of Administration"
Q114292678,Minister of Economic Affairs and Promotion of Productive Sectors
Q114292679,Minister of Employment and Vocational Training
Q63976869,Minister of Energy and Oil
Q114292680,Minister of Environment and Sustainable Development
Q114292681,Minister of Equipement and Transports
Q99229078,Minister of Finance
Q114292682,Minister of Fishing and Maritime Economy
Q56062123,Minister of Foreign Affairs
Q112081177,Minister of Health
Q114292683,Minister of Higher Education and Scientific Research
Q114292684,"Minister of Housing, Urbanism and Land Planning"
Q114292685,Minister of Islamic Affairs and Original Education
Q114292687,Minister of Justice
Q114292689,Minister of Livestock
Q114292691,Minister of National Defense
Q114292693,Minister of National Education and Reform of Education System
Q114292695,Minister of Public Service and Labor
Q114292697,Minister of Social Action
Q63214203,"Minister of Social Affairs, Childhood and Family Affairs"
Q114292698,"Minister of Trade, Industry, Handicrafts, and Tourism"
Q114292699,Minister of Water and Sanitation
Q114292701,Minister of the Interior and Decentralisation
Q114292671,Minister Counsellor at the Presidency of the Republic
Q114292672,Minister Secretary-General of Government
Q114292674,Minister Secretary-General of the Presidency of the Republic
Q114293597,Government Spokesperson
Q114293567,Commissioner for Food Security
Q114293540,"Commissioner for Human Rights, Humanitarian Action, and Relations with Civil Society"
Q114293591,General Representative for National Solidarity and Anti-Exclusion
Q114293227,Governor of the Central Bank of Mauritania
