item,itemLabel,startDate,endDate
Q325511,Cheikh El Avia Ould Mohamed Khouna,1998-11-16,2003-07-06
Q773245,Sghair Ould M'Bareck,2003-07-06,2005-08-07
Q712775,Sidi Mohamed Ould Boubacar,2005-08-07,2007-04-20
Q184941,Zeine Ould Zeidane,2007-04-20,2008-05-06
Q1371357,Yahya Ould Ahmed El Waghef,2008-05-06,2008-08-06
Q440509,Moulaye Ould Mohamed Laghdaf,2008-08-14,2014-08-20
Q3571335,Yahya Ould Hademine,2014-08-20,2018-10-29
Q58014343,Mohamed Salem Ould Béchir,2018-10-29,2019-08-05
Q3155412,Ismail Ould Bedde Ould Cheikh Sidiya,2019-08-05,2020-08-06
Q98137599,Mohamed Ould Bilal,2020-08-06,
